Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,23013,1998,02,8.2,17,Y
IDCJAC0008,23013,1998,03,7.7,25,Y
IDCJAC0008,23013,1998,04,5.3,25,Y
IDCJAC0008,23013,1998,05,2.3,26,Y
IDCJAC0008,23013,1998,06,-0.5,18,Y
IDCJAC0008,23013,1998,07,0.4,25,Y
IDCJAC0008,23013,1998,08,1.4,24,Y
IDCJAC0008,23013,1998,09,2.4,20,Y
IDCJAC0008,23013,1998,10,3.6,28,Y
IDCJAC0008,23013,1998,11,5.2,02,Y
IDCJAC0008,23013,1998,12,8.4,28,Y
IDCJAC0008,23013,1999,01,11.5,22,Y
IDCJAC0008,23013,1999,02,9.4,07,Y
IDCJAC0008,23013,1999,03,9.2,14,Y
IDCJAC0008,23013,1999,04,0.6,24,Y
IDCJAC0008,23013,1999,05,2.2,02,Y
IDCJAC0008,23013,1999,06,-0.7,11,Y
IDCJAC0008,23013,1999,07,0.5,04,Y
IDCJAC0008,23013,1999,08,-1.7,02,Y
IDCJAC0008,23013,1999,09,3.2,07,Y
IDCJAC0008,23013,1999,10,5.7,20,Y
IDCJAC0008,23013,1999,11,3.4,08,Y
IDCJAC0008,23013,1999,12,7.7,18,Y
IDCJAC0008,23013,2000,01,10.0,23,Y
IDCJAC0008,23013,2000,02,10.0,12,Y
IDCJAC0008,23013,2000,03,7.6,25,Y
IDCJAC0008,23013,2000,04,3.2,26,Y
IDCJAC0008,23013,2000,05,3.3,22,Y
IDCJAC0008,23013,2000,06,-0.3,14,Y
IDCJAC0008,23013,2000,07,0.6,10,Y
IDCJAC0008,23013,2000,08,0.5,11,Y
IDCJAC0008,23013,2000,09,2.6,15,Y
IDCJAC0008,23013,2000,10,1.6,11,Y
IDCJAC0008,23013,2000,11,7.2,04,Y
IDCJAC0008,23013,2000,12,8.5,08,Y
IDCJAC0008,23013,2001,01,11.3,28,Y
IDCJAC0008,23013,2001,02,11.4,23,Y
IDCJAC0008,23013,2001,03,6.7,31,Y
