Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,72023,1995,10,31.0,19,Y
IDCJAC0005,72023,1995,11,29.2,27,Y
IDCJAC0005,72023,1995,12,34.6,31,Y
IDCJAC0005,72023,1996,01,39.0,15,Y
IDCJAC0005,72023,1996,02,33.1,19,Y
IDCJAC0005,72023,1996,03,31.7,15,Y
IDCJAC0005,72023,1996,04,25.7,06,Y
IDCJAC0005,72023,1996,05,23.5,03,Y
IDCJAC0005,72023,1996,06,18.3,02,Y
IDCJAC0005,72023,1996,07,14.2,23,Y
IDCJAC0005,72023,1996,08,18.7,13,Y
IDCJAC0005,72023,1996,09,24.4,18,Y
IDCJAC0005,72023,1996,10,30.0,11,Y
IDCJAC0005,72023,1996,11,31.4,13,Y
IDCJAC0005,72023,1996,12,37.5,24,Y
IDCJAC0005,72023,1997,01,38.0,20,Y
IDCJAC0005,72023,1997,02,38.0,22,Y
IDCJAC0005,72023,1997,03,32.2,01,Y
IDCJAC0005,72023,1997,04,27.6,13,Y
IDCJAC0005,72023,1997,05,25.5,01,Y
IDCJAC0005,72023,1997,06,18.5,06,Y
IDCJAC0005,72023,1997,07,18.6,25,Y
IDCJAC0005,72023,1997,08,16.6,16,Y
IDCJAC0005,72023,1997,09,19.8,30,Y
IDCJAC0005,72023,1997,10,33.0,26,Y
IDCJAC0005,72023,1997,11,39.5,26,Y
IDCJAC0005,72023,1997,12,38.8,21,Y
IDCJAC0005,72023,1998,01,40.4,17,Y
IDCJAC0005,72023,1998,02,40.5,26,Y
IDCJAC0005,72023,1998,03,38.4,12,Y
IDCJAC0005,72023,1998,04,31.8,08,Y
IDCJAC0005,72023,1998,05,22.9,16,Y
IDCJAC0005,72023,1998,06,19.7,04,Y
IDCJAC0005,72023,1998,07,16.1,05,Y
IDCJAC0005,72023,1998,08,18.5,31,Y
IDCJAC0005,72023,1998,09,23.9,29,Y
IDCJAC0005,72023,1998,10,29.4,01,Y
IDCJAC0005,72023,1998,11,30.5,07,Y
IDCJAC0005,72023,1998,12,37.0,11,Y
IDCJAC0005,72023,1999,01,41.4,05,Y
IDCJAC0005,72023,1999,02,36.6,15,Y
IDCJAC0005,72023,1999,03,33.3,06,Y
IDCJAC0005,72023,1999,04,25.0,13,Y
IDCJAC0005,72023,1999,05,22.8,04,Y
IDCJAC0005,72023,1999,06,18.8,05,Y
IDCJAC0005,72023,1999,07,16.4,15,Y
IDCJAC0005,72023,1999,08,22.2,31,Y
IDCJAC0005,72023,1999,09,25.5,26,Y
IDCJAC0005,72023,1999,10,27.4,09,Y
IDCJAC0005,72023,1999,11,31.0,30,Y
IDCJAC0005,72023,1999,12,35.2,07,Y
IDCJAC0005,72023,2000,01,33.8,18,Y
IDCJAC0005,72023,2000,02,38.8,04,Y
IDCJAC0005,72023,2000,03,35.8,03,Y
IDCJAC0005,72023,2000,04,28.8,03,Y
IDCJAC0005,72023,2000,05,19.7,02,Y
IDCJAC0005,72023,2000,06,15.7,11,Y
IDCJAC0005,72023,2000,07,17.0,17,Y
IDCJAC0005,72023,2000,08,18.4,05,Y
IDCJAC0005,72023,2000,09,23.2,28,Y
IDCJAC0005,72023,2000,10,27.4,06,Y
IDCJAC0005,72023,2000,11,34.0,29,Y
IDCJAC0005,72023,2000,12,38.5,21,Y
IDCJAC0005,72023,2001,01,40.9,23,Y
IDCJAC0005,72023,2001,02,36.8,27,Y
IDCJAC0005,72023,2001,03,32.7,10,Y
IDCJAC0005,72023,2001,04,28.1,17,Y
IDCJAC0005,72023,2001,05,22.4,15,Y
IDCJAC0005,72023,2001,06,20.8,06,Y
IDCJAC0005,72023,2001,07,17.3,29,Y
IDCJAC0005,72023,2001,08,20.8,16,Y
